arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1
3.43841	6.50345	3.16475	6.88775	3.45503	4.29042	5.82069	6.69262	5.38163	5.71011	5.48548	3.54475	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.23301	6.1612	3.87733	6.40415	3.66228	2.77802	6.6216	5.96937	5.19444	3.73106	5.55836	4.34627	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.71984	6.90769	4.83717	7.30042	3.84971	3.45124	5.94715	5.53125	5.31817	4.82829	5.63985	4.86581	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
5.32136	6.77514	4.96615	7.05145	3.7339	3.57787	6.36988	7.10871	5.36297	3.84361	5.89177	5.35806	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
5.33226	6.99474	4.41711	7.29019	3.69275	3.61792	6.00075	5.58899	5.61789	3.8277	5.98646	5.49717	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
3.76019	5.5644	4.78022	5.39602	4.68061	3.60277	7.0088	5.96103	5.59816	4.73863	4.37622	3.87649	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
3.69532	6.9611	4.99049	7.39727	3.7339	3.58293	3.94249	5.6509	5.51709	3.91115	6.17181	3.8096	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
3.51315	6.36563	4.7111	6.64834	4.42193	3.35672	6.95099	5.4741	5.25577	4.43667	5.47458	3.6218	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.42193	5.68903	5.27133	5.94237	3.1312	2.9346	6.37831	6.11163	5.76348	4.09124	6.24067	4.55868	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
5.7428	8.6117	5.93037	6.15587	7.83925	3.76115	6.60353	6.17533	5.72402	4.84847	5.29152	6.0531	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
