	[tfAR]_0	[tfATF1]_0	[tfBRCA1]_0	[tfCEBPA]_0	[tfCEBPB]_0	[tfCEBPD]_0	[tfCREB1]_0	[tfE2F1]_0	[tfE2F4]_0	[tfEGR1]_0	[tfESR1]_0	[tfETS1]_0	[tfFOXA1]_0	[tfGATA1]_0	[tfGATA2]_0	[tfGATA3]_0	[tfGLI1]_0	[tfGLI2]_0	[tfJUN]_0	[tfJUND]_0	[tfMYB]_0	[tfMYBL1]_0	[tfMYC]_0	[tfNFIC]_0	[tfNFKB1]_0	[tfNFKB2]_0	[tfPGR]_0	[tfPPARG]_0	[tfRARA]_0	[tfRARB]_0	[tfRARG]_0	[tfREL]_0	[tfRELA]_0	[tfSP1]_0	[tfSTAT3]_0	[tfSTAT5A]_0	[tfTFAP2A]_0	[tfTFAP2C]_0	[tfTP53]_0	[tfUSF1]_0	[tfWT1]_0	[tfYBX1]_0	[arnBCL2]_0	[arnBID]_0	[arnCAMK1D]_0	[arnCARD10]_0	[arnCASP1]_0	[arnCLCA1]_0	[arnDAP]_0	[arnGLRX2]_0	[arnIL1F10]_0	[arnIL6]_0	[arnLGALS3]_0	[arnSERPINB2]_0	[MIR143]_0	[MIR146A]_0	[MIR148A]_0	[MIR15A]_0	[MIR15B]_0	[MIR16_2]_0	[MIR17]_0	[MIR18A]_0	[MIR192]_0	[MIR195]_0	[MIR200B]_0	[MIR200C]_0	[MIR20A]_0	[MIR21]_0	[MIR224]_0	[MIR29A]_0	[MIR29C]_0	[MIR34A]_0	[MIR34B]_0	[MIR34C]_0	[MIR448]_0	[MIR449A]_0	[MIRLET7A1]_0	[MIRLET7C]_0
[tfWT1]	5.9303e-013	1.045e-013	2.38443e-013	3.33062e-013	2.33004e-013	1.18825e-013	1.02474e-013	2.40939e-013	1.96201e-013	1.18586e-013	6.13572e-013	1.31222e-013	1.66021e-013	4.22625e-013	1.7265e-013	3.13071e-013	1.75878e-013	1.55952e-013	3.83628e-013	0	3.2019e-013	1.47678e-013	3.07207e-013	1.11252e-013	2.55956e-013	1.12333e-013	5.00175e-013	2.04214e-013	3.8962e-013	4.02328e-013	1.26539e-013	1.45554e-013	1.03889e-013	2.0307e-013	2.11337e-013	4.3737e-013	2.83072e-013	1.6106e-013	3.21695e-013	1.13725e-013	3.30426e-013	3.35543e-013	2.03803e-013	0	1.87547e-013	1.31738e-013	0	0	0	0	0	2.09223e-013	0	0	2.20305e-013	9.51746e-014	2.24831e-013	1.3585e-013	1.02082e-013	8.73272e-014	2.66949e-013	3.1101e-013	1.29214e-013	2.60909e-013	3.7035e-013	0	1.47462e-013	2.41388e-013	1.62881e-013	8.77465e-014	1.66656e-013	2.78938e-013	3.52583e-013	3.953e-013	0	2.61039e-013	0	1.49308e-013
[tfYBX1]	0	1.045e-013	1.19222e-013	1.66531e-013	0	0	0	1.20469e-013	0	1.18586e-013	0	0	-1.66021e-013	1.40875e-013	0	0	0	0	1.27876e-013	0	0	0	0	0	0	0	2.50087e-013	0	0	0	0	0	0	0	2.11337e-013	0	0	1.6106e-013	1.07232e-013	-1.13725e-013	1.65213e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.89831e-014	0	0	8.69697e-014	1.2345e-013	0	0	0	0	0	0	1.39469e-013	0	0	0	0	7.7198e-014	7.4654e-014
[arnBCL2]	3.95353e-013	1.045e-013	1.19222e-013	1.66531e-013	3.49506e-013	0	-1.02474e-013	2.40939e-013	1.96201e-013	1.18586e-013	2.04524e-013	0	-1.66021e-013	2.8175e-013	1.7265e-013	0	0	1.55952e-013	0	0	-3.2019e-013	1.47678e-013	0	0	1.27978e-013	1.12333e-013	2.50087e-013	4.08429e-013	0	0	0	1.45554e-013	0	2.0307e-013	-3.17006e-013	2.9158e-013	0	0	1.07232e-013	0	-1.65213e-013	0	2.03803e-013	0	0	0	0	0	0	0	0	2.09223e-013	0	0	2.20305e-013	-9.51746e-014	2.24831e-013	4.07551e-013	-1.02082e-013	-8.73272e-014	8.89831e-014	1.0367e-013	0	2.60909e-013	2.469e-013	0	-7.37312e-014	1.20694e-013	0	8.77465e-014	1.66656e-013	1.39469e-013	1.76292e-013	3.953e-013	0	0	-7.7198e-014	1.49308e-013
[arnBID]	1.86955e-026	4.24232e-026	3.34752e-026	5.84089e-027	-1.58626e-026	1.10229e-026	2.92855e-026	2.62993e-026	-8.94727e-028	4.04135e-026	4.90963e-026	4.84178e-026	1.43767e-025	-4.41632e-027	2.74411e-026	-2.93492e-026	-1.36386e-026	8.50744e-026	2.57358e-026	-6.37715e-027	4.34614e-026	7.06152e-026	2.41385e-026	-2.15423e-027	-4.6984e-026	5.9139e-026	4.73382e-026	-5.27687e-026	2.64187e-026	4.89565e-026	2.49846e-026	4.13752e-026	2.17077e-026	2.81626e-026	2.9847e-026	4.88165e-026	2.4299e-026	2.2745e-026	-2.41139e-026	5.61086e-027	4.93497e-026	2.05938e-026	1.24612e-026	1.72215e-027	7.47645e-026	1.12742e-027	0	0	0	0	0	4.9892e-026	0	0	5.75749e-026	2.20478e-026	-6.44657e-028	3.9974e-026	7.62067e-026	4.02346e-026	-1.77186e-026	3.41035e-026	1.71034e-026	2.7118e-026	6.4935e-026	5.54772e-026	5.86857e-027	1.76463e-027	-1.3616e-026	-1.74896e-026	-2.62842e-026	1.51216e-026	-5.35283e-026	4.76467e-026	6.73684e-026	-2.80769e-026	-2.21134e-026	6.21662e-027
[arnCAMK1D]	1.97677e-013	0	1.19222e-013	1.66531e-013	1.16502e-013	0	0	1.20469e-013	9.81007e-014	0	2.04524e-013	1.31222e-013	0	1.40875e-013	1.7265e-013	-3.13071e-013	0	0	0	0	0	0	0	0	-1.27978e-013	0	2.50087e-013	0	1.29873e-013	2.01164e-013	0	1.45554e-013	0	0	0	1.4579e-013	0	1.6106e-013	0	0	1.65213e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0367e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.7198e-014	0
[arnCARD10]	-1.29808e-015	6.28268e-016	-1.42534e-016	-5.12099e-016	-1.79499e-016	-6.17752e-016	5.04947e-017	-1.34683e-015	3.11525e-018	-4.82408e-016	-5.83913e-016	1.04934e-015	9.8467e-016	-1.06537e-015	-1.01821e-015	1.50748e-016	1.13251e-015	-4.06314e-016	-4.58263e-016	2.43874e-016	-1.48669e-015	-3.72967e-016	-3.257e-016	-1.3931e-016	-5.62147e-016	-5.01979e-016	-9.87272e-016	-8.43128e-016	6.47664e-016	-1.86499e-016	-1.1385e-015	-3.63197e-016	-1.62427e-015	1.49406e-016	-8.13833e-016	-2.91675e-016	-1.03149e-015	-7.25456e-017	3.91274e-016	3.9383e-016	-1.2336e-015	3.05421e-017	-3.78296e-016	0	1.40425e-015	1.16671e-015	0	0	0	0	0	-4.78822e-016	0	0	-1.46186e-015	-1.00886e-016	1.73784e-015	-5.78562e-016	-5.75597e-016	-1.71942e-016	-7.73009e-016	-5.91882e-016	1.69363e-015	1.80359e-016	7.20508e-017	1.02814e-015	1.33673e-016	2.83023e-016	7.54297e-016	4.48142e-016	-2.37763e-016	-3.06261e-016	-5.11034e-016	-2.00499e-015	-8.73392e-016	-8.84013e-016	-4.34829e-017	-2.20711e-016
[arnCASP1]	2.6825e-025	1.14515e-025	3.44895e-026	1.58088e-025	4.18215e-026	7.74366e-026	1.52028e-026	3.5518e-026	1.54479e-025	5.53409e-026	1.24246e-025	8.04199e-026	8.47235e-026	4.5297e-026	7.27282e-026	7.68824e-026	1.22415e-025	1.164e-025	1.07559e-025	4.82092e-026	9.31945e-026	1.49303e-025	1.28763e-025	6.61214e-026	1.45831e-025	-4.20058e-026	2.26936e-025	1.1124e-025	1.01903e-025	1.4941e-025	1.8195e-025	1.71692e-025	9.52647e-026	1.33462e-025	1.69474e-025	8.0023e-026	1.87085e-025	-2.86077e-026	9.50199e-026	4.6442e-026	9.82824e-026	1.04168e-025	3.3948e-026	0	1.5626e-025	6.89954e-026	1.99053e-025	0	0	0	0	2.56334e-025	0	0	8.93254e-026	6.01728e-026	2.13488e-025	1.34361e-025	1.259e-025	2.06804e-026	5.64764e-026	9.8666e-027	-2.99842e-026	6.75052e-026	7.61794e-026	8.66458e-026	3.64174e-026	1.0209e-025	8.73919e-026	-1.61728e-026	2.8848e-026	2.58414e-025	1.96477e-025	6.30238e-026	-4.28054e-026	8.86135e-026	1.0125e-025	1.08892e-025
[arnCLCA1]	9.88383e-014	5.22501e-014	5.96108e-014	0	5.8251e-014	0	5.12371e-014	0	4.90503e-014	0	1.02262e-013	-1.31222e-013	0	7.04375e-014	8.63251e-014	0	0	0	0	0	8.00476e-014	0	0	5.56262e-014	0	0	1.25044e-013	0	0	0	0	0	0	0	5.28343e-014	0	0	0	0	5.68627e-014	0	8.38858e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.75873e-014	0	0	0	4.36636e-014	4.44916e-014	5.1835e-014	0	0	6.1725e-014	0	0	0	0	0	4.16639e-014	0	0	0	0	0	-3.8599e-014	3.7327e-014
[arnDAP]	1.97677e-013	1.045e-013	0	1.66531e-013	1.16502e-013	0	0	1.20469e-013	9.81007e-014	1.18586e-013	2.04524e-013	0	0	1.40875e-013	1.7265e-013	3.13071e-013	0	0	1.27876e-013	0	0	0	0	1.11252e-013	1.27978e-013	0	0	0	0	2.01164e-013	0	1.45554e-013	1.03889e-013	1.01535e-013	1.05669e-013	0	1.41536e-013	0	1.07232e-013	1.13725e-013	1.65213e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51746e-014	0	0	0	8.73272e-014	8.89831e-014	1.0367e-013	0	0	0	1.44672e-013	0	0	0	0	8.33278e-014	-1.39469e-013	0	0	0	0	0	7.4654e-014
[arnGLRX2]	-1.97677e-013	-1.045e-013	0	0	-1.16502e-013	0	0	0	-9.81007e-014	-1.18586e-013	0	-1.31222e-013	-1.66021e-013	0	-1.7265e-013	0	0	0	0	0	0	0	-1.02402e-013	0	0	-1.12333e-013	-2.50087e-013	0	-1.29873e-013	0	0	0	-1.03889e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.09223e-013	0	0	0	-9.51746e-014	0	-1.3585e-013	0	0	0	-1.0367e-013	0	0	-1.2345e-013	-1.44672e-013	0	-1.20694e-013	0	0	0	0	-1.76292e-013	0	0	0	-7.7198e-014	0
[arnIL1F10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07232e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.51746e-014	0	0	0	0	0	0	0	0	1.2345e-013	1.44672e-013	0	0	0	0	0	0	0	0	0	0	0	0
[arnIL6]	-3.64463e-016	2.95657e-016	1.0203e-015	9.29984e-016	3.36041e-016	3.81662e-016	7.16912e-016	-6.70479e-016	-4.94024e-016	3.25961e-016	-3.06715e-016	5.70776e-016	-4.72369e-016	-2.58991e-016	1.41875e-015	6.58735e-016	-1.48366e-015	3.10742e-017	-4.45039e-016	0	-9.24112e-016	-4.84575e-016	6.02568e-016	4.53142e-016	-2.60557e-016	7.55515e-016	7.13743e-016	1.04544e-015	2.92243e-017	3.22819e-017	-8.36137e-017	1.29849e-015	-6.97777e-016	-6.8632e-016	3.12417e-016	8.81398e-016	3.55292e-016	-9.62426e-016	-4.83162e-016	6.88457e-016	1.17402e-016	-1.17396e-015	3.52702e-016	0	-3.01199e-016	1.40102e-016	0	0	0	0	0	2.11028e-016	0	0	-5.9937e-016	9.85749e-017	-8.746e-016	-4.32224e-016	6.63786e-016	-4.87063e-016	6.12477e-017	7.66371e-016	5.34687e-016	-4.66166e-017	-3.57903e-017	1.05453e-015	-8.4533e-017	1.07273e-016	-3.57327e-016	7.13788e-016	1.13537e-016	3.67237e-016	8.77225e-016	6.04961e-016	5.0924e-016	1.30993e-015	-6.41994e-018	-3.0477e-016
[arnLGALS3]	-6.63892e-026	-1.57162e-026	5.2606e-027	-8.29819e-027	-2.73878e-026	-2.07001e-026	6.38051e-027	-1.21868e-027	1.39627e-027	-4.36859e-026	-6.38352e-026	-2.71116e-026	-8.28689e-027	-5.84269e-027	-3.89964e-027	2.5698e-027	-5.70868e-026	-4.34934e-026	-4.26208e-026	-1.01941e-026	1.29271e-027	-3.63408e-026	-1.23942e-026	-7.1082e-027	-7.74119e-027	-3.8756e-027	-3.61154e-026	-3.62845e-026	-1.93907e-026	-1.56881e-026	-1.2724e-026	-1.74993e-026	-6.42679e-027	-1.45434e-026	-2.26831e-026	-1.69029e-026	-4.34966e-026	-4.36162e-027	-1.69062e-026	-3.57535e-026	-3.11241e-026	-1.95662e-026	3.78213e-027	0	-1.80012e-026	-4.38735e-027	0	0	0	0	0	-5.11492e-027	-1.6366e-026	0	-4.33289e-026	-1.33278e-026	-1.9409e-027	-2.1962e-026	-1.61514e-026	-1.06667e-026	-1.10145e-026	-1.05221e-026	-2.33442e-026	-2.60602e-027	-3.04097e-026	-1.81177e-026	-1.24241e-026	-8.47559e-027	-4.09156e-026	-1.36625e-026	-9.48484e-027	-1.95374e-026	-2.61028e-026	-2.99954e-026	-4.95932e-027	-5.26144e-026	-2.70444e-026	-1.01488e-026
[arnSERPINB2]	-4.72077e-027	-1.43309e-027	-9.61551e-028	-1.23228e-028	-3.26854e-027	-2.49165e-027	6.36579e-028	1.57577e-027	2.42018e-027	-1.15268e-027	-4.51582e-027	-2.54124e-028	-4.48112e-027	-2.7485e-027	3.09826e-027	1.30879e-028	-2.74993e-027	-1.80255e-027	7.68538e-028	1.25218e-027	-7.05284e-028	-4.07571e-027	-1.66482e-027	1.95941e-028	6.22825e-028	1.14675e-027	-3.09396e-027	-3.3946e-027	-2.4986e-027	-1.39296e-027	6.8344e-028	2.08295e-027	2.14278e-027	1.15011e-027	1.77162e-027	-3.66282e-028	7.34632e-028	-6.94843e-028	-6.88148e-028	-3.4237e-027	-4.22738e-027	-4.54364e-027	-2.90244e-027	0	5.4002e-028	-2.73306e-027	0	0	0	0	0	-5.78419e-028	0	-2.84406e-027	3.29037e-027	-1.25256e-027	4.3231e-028	-2.4311e-028	-3.56763e-029	1.02948e-028	3.5766e-028	-4.6853e-028	1.81686e-027	1.95731e-027	2.39729e-027	-2.3456e-027	-4.98648e-028	-3.62441e-027	-1.41611e-027	-1.17186e-027	-8.05107e-028	-1.94266e-027	1.50756e-027	2.05349e-027	-4.83824e-027	-1.18702e-027	-1.01919e-027	-3.18891e-028
[MIR143]	0	0	0	0	0	0	0	-1.20469e-013	0	0	0	0	0	0	0	0	0	0	0	0	-1.60095e-013	0	-1.02402e-013	0	0	0	0	0	0	0	0	0	0	0	-1.05669e-013	0	-1.41536e-013	0	0	0	-1.65213e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.51746e-014	0	0	0	0	0	0	0	0	0	-1.44672e-013	0	0	0	0	0	0	0	0	0	0	0	0
[MIR146A]	3.95353e-013	0	0	0	0	0	0	0	0	0	0	0	-3.32042e-013	0	-3.453e-013	-3.13071e-013	0	0	0	0	-3.2019e-013	0	2.04805e-013	0	-2.55956e-013	0	0	0	0	0	0	-2.91109e-013	0	0	0	0	-2.83072e-013	0	-2.14463e-013	-2.27451e-013	0	0	0	0	0	0	0	0	0	0	0	-4.18446e-013	0	0	0	-1.90349e-013	0	0	0	0	0	0	0	-1.73939e-013	2.469e-013	0	0	2.41388e-013	0	0	0	-2.78938e-013	0	0	0	0	-1.54396e-013	0
[MIR148A]	0	5.22501e-014	5.96108e-014	8.32656e-014	0	0	0	6.02346e-014	4.90503e-014	5.92929e-014	2.04524e-013	1.31222e-013	2.49031e-013	7.04375e-014	2.58975e-013	3.13071e-013	0	0	0	0	1.60095e-013	0	5.12012e-014	0	1.27978e-013	5.61664e-014	-1.25044e-013	-1.02107e-013	0	0	6.32697e-014	0	0	1.52303e-013	5.28343e-014	7.2895e-014	0	8.05302e-014	-5.36158e-014	5.68627e-014	0	1.67772e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51746e-014	1.12415e-013	6.79252e-014	0	-4.36636e-014	4.44916e-014	5.1835e-014	0	4.34849e-014	6.1725e-014	1.44672e-013	1.10597e-013	1.20694e-013	0	0	4.16639e-014	1.39469e-013	8.81458e-014	0	0	0	7.7198e-014	0
[MIR15A]	-1.97677e-013	0	0	0	0	0	0	0	-1.96201e-013	-1.18586e-013	0	-3.93666e-013	0	0	1.7265e-013	3.13071e-013	0	0	0	0	0	0	0	0	-1.27978e-013	0	0	-2.04214e-013	0	0	0	0	1.03889e-013	-2.0307e-013	1.05669e-013	-1.4579e-013	0	-1.6106e-013	0	1.13725e-013	0	0	0	0	0	0	0	0	0	0	0	-2.09223e-013	0	0	0	0	0	-1.3585e-013	0	-8.73272e-014	-8.89831e-014	-1.0367e-013	0	2.60909e-013	1.2345e-013	-1.44672e-013	0	-1.20694e-013	0	0	0	2.78938e-013	-1.76292e-013	-1.9765e-013	0	0	0	-7.4654e-014
[MIR15B]	0	0	2.38443e-013	3.33062e-013	2.33004e-013	0	0	2.40939e-013	1.96201e-013	0	4.09048e-013	2.62444e-013	3.32042e-013	2.8175e-013	3.453e-013	3.13071e-013	0	0	0	0	3.2019e-013	0	0	2.22505e-013	0	2.24666e-013	0	4.08429e-013	0	0	0	0	2.07779e-013	2.0307e-013	2.11337e-013	0	2.83072e-013	0	2.14463e-013	0	3.30426e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73939e-013	0	0	1.47462e-013	2.41388e-013	0	0	0	2.78938e-013	3.52583e-013	3.953e-013	0	0	1.54396e-013	1.49308e-013
[MIR16_2]	0	0	0	0	0	0	0	2.40939e-013	0	0	0	0	0	0	3.453e-013	3.13071e-013	0	0	0	0	0	0	2.04805e-013	0	0	0	0	0	0	0	0	0	2.07779e-013	0	2.11337e-013	0	0	0	2.14463e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80699e-013	0	0	0	0	0	0	0	1.73939e-013	0	0	1.47462e-013	2.41388e-013	0	0	0	2.78938e-013	0	0	0	0	0	0
[MIR17]	0	0	0	0	0	0	0	2.40939e-013	1.96201e-013	0	0	2.62444e-013	0	0	3.453e-013	3.13071e-013	0	0	0	0	0	0	0	0	2.55956e-013	0	0	0	0	0	0	0	2.07779e-013	2.0307e-013	2.11337e-013	0	2.83072e-013	0	2.14463e-013	0	0	3.35543e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90349e-013	0	0	0	0	0	0	0	1.73939e-013	2.469e-013	0	1.47462e-013	0	0	0	0	2.78938e-013	0	0	0	0	1.54396e-013	1.49308e-013
[MIR18A]	3.95353e-013	2.09e-013	2.38443e-013	3.33062e-013	2.33004e-013	0	2.04948e-013	2.40939e-013	1.96201e-013	0	4.09048e-013	2.62444e-013	3.32042e-013	2.8175e-013	3.453e-013	3.13071e-013	0	0	0	0	3.2019e-013	0	0	2.22505e-013	2.55956e-013	0	0	4.08429e-013	2.59747e-013	4.02328e-013	0	0	0	2.0307e-013	2.11337e-013	0	2.83072e-013	0	4.28926e-013	0	3.30426e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0734e-013	0	1.73939e-013	2.469e-013	0	0	2.41388e-013	0	0	0	2.78938e-013	3.52583e-013	3.953e-013	0	0	0	1.49308e-013
[MIR192]	-1.97677e-013	-1.045e-013	-1.19222e-013	-1.66531e-013	-1.16502e-013	0	-1.02474e-013	-1.20469e-013	-9.81007e-014	-1.18586e-013	-2.04524e-013	-1.31222e-013	-1.66021e-013	-1.40875e-013	-1.7265e-013	0	0	0	0	0	-1.60095e-013	0	-1.02402e-013	-1.11252e-013	0	-1.12333e-013	-2.50087e-013	0	-1.29873e-013	-2.01164e-013	-1.26539e-013	-1.45554e-013	0	-1.01535e-013	-1.05669e-013	0	-1.41536e-013	-1.6106e-013	-1.07232e-013	0	-1.65213e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.51746e-014	0	-2.71701e-013	0	-8.73272e-014	-1.77966e-013	-1.0367e-013	-1.29214e-013	-8.69697e-014	1.2345e-013	1.44672e-013	7.37312e-014	-1.20694e-013	0	0	-8.33278e-014	1.39469e-013	-1.76292e-013	-1.9765e-013	0	0	7.7198e-014	-1.49308e-013
[MIR195]	-3.95353e-013	-2.09e-013	-2.38443e-013	-3.33062e-013	-2.33004e-013	0	0	0	-1.96201e-013	0	0	-2.62444e-013	-3.32042e-013	0	3.453e-013	0	0	0	0	0	0	0	0	0	-2.55956e-013	-2.24666e-013	-5.00175e-013	0	-2.59747e-013	0	0	-2.91109e-013	0	-2.0307e-013	0	0	-2.83072e-013	0	-2.14463e-013	-2.27451e-013	0	-3.35543e-013	0	0	0	0	0	0	0	0	0	-4.18446e-013	0	0	0	0	0	0	0	0	0	-2.0734e-013	0	1.73939e-013	2.469e-013	0	0	0	0	0	0	0	0	0	0	0	0	0
[MIR200B]	0	0	1.19222e-013	0	1.16502e-013	0	1.02474e-013	0	0	0	0	0	0	0	0	3.13071e-013	0	0	0	0	1.60095e-013	0	0	0	1.27978e-013	0	0	0	0	0	0	0	0	0	0	0	1.41536e-013	1.6106e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44672e-013	7.37312e-014	0	0	0	0	1.39469e-013	0	0	0	0	7.7198e-014	0
[MIR200C]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13071e-013	0	0	0	0	0	0	0	0	1.27978e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07232e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51746e-014	0	0	0	0	0	0	0	0	1.2345e-013	1.44672e-013	1.47462e-013	0	0	0	0	2.78938e-013	0	0	0	0	1.54396e-013	0
[MIR20A]	3.95353e-013	2.09e-013	2.38443e-013	3.33062e-013	2.33004e-013	0	0	2.40939e-013	3.92403e-013	2.37172e-013	4.09048e-013	2.62444e-013	3.32042e-013	2.8175e-013	6.906e-013	3.13071e-013	0	0	2.55752e-013	0	3.2019e-013	0	4.0961e-013	0	2.55956e-013	0	0	4.08429e-013	0	4.02328e-013	0	0	2.07779e-013	2.0307e-013	2.11337e-013	0	2.83072e-013	0	6.43389e-013	2.27451e-013	3.30426e-013	3.35543e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90349e-013	0	0	0	0	0	0	0	1.73939e-013	7.407e-013	0	1.47462e-013	2.41388e-013	0	0	1.66656e-013	5.57876e-013	0	0	0	0	0	1.49308e-013
[MIR21]	0	-1.045e-013	0	0	-1.16502e-013	0	0	1.20469e-013	0	0	0	1.31222e-013	0	0	0	3.13071e-013	0	0	-1.27876e-013	0	-1.60095e-013	0	0	0	1.27978e-013	0	0	0	0	-2.01164e-013	-1.26539e-013	0	-1.03889e-013	1.01535e-013	-1.05669e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90349e-013	0	0	0	-8.73272e-014	8.89831e-014	1.0367e-013	0	0	3.7035e-013	0	7.37312e-014	0	0	0	0	0	0	0	0	0	0	7.4654e-014
[MIR224]	3.22015e-031	4.48592e-030	5.03685e-030	1.67818e-029	5.81763e-030	7.98537e-030	4.70376e-030	4.43864e-030	8.29125e-030	4.93656e-030	1.10547e-029	6.48845e-030	-1.5319e-030	3.92522e-030	1.5784e-029	5.24749e-030	1.41225e-030	7.28844e-030	3.78416e-030	-1.30025e-030	4.03082e-030	1.33621e-029	7.55458e-030	1.19315e-029	5.54027e-030	8.02787e-030	-7.49307e-030	2.04235e-029	1.14816e-029	-8.61254e-031	1.41386e-029	3.63142e-030	6.24753e-030	4.51851e-030	-1.20133e-030	-7.82257e-030	6.86659e-030	8.74124e-030	5.08556e-030	-6.84948e-030	2.25713e-030	5.5654e-030	1.03626e-029	0	1.75353e-029	1.20551e-029	0	0	0	0	0	1.6761e-029	0	0	-2.68811e-030	6.62907e-030	1.63008e-029	9.56381e-030	6.64048e-030	7.59521e-031	8.58942e-030	9.72395e-030	1.96134e-029	3.52112e-030	1.67892e-031	9.38436e-030	5.74123e-030	-1.98801e-031	-4.68476e-030	1.94086e-030	7.29675e-030	4.56863e-030	1.7081e-030	1.94755e-029	2.66826e-029	2.90281e-030	3.49941e-030	-4.41553e-030
[MIR29A]	-7.90707e-013	-2.09e-013	-2.38443e-013	-3.33062e-013	-2.33004e-013	0	-2.04948e-013	-2.40939e-013	-1.96201e-013	-2.37172e-013	-4.09048e-013	-2.62444e-013	-3.32042e-013	-2.8175e-013	-3.453e-013	3.13071e-013	0	0	-2.55752e-013	0	-3.2019e-013	0	-2.04805e-013	-2.22505e-013	-2.55956e-013	-2.24666e-013	-5.00175e-013	-4.08429e-013	-2.59747e-013	-4.02328e-013	-2.53079e-013	-2.91109e-013	0	-2.0307e-013	-2.11337e-013	0	-2.83072e-013	-3.22121e-013	-4.28926e-013	-2.27451e-013	-3.30426e-013	-3.35543e-013	0	0	0	0	0	0	0	0	0	-4.18446e-013	0	0	0	1.90349e-013	0	-2.71701e-013	0	-1.74654e-013	-3.55933e-013	-2.0734e-013	0	0	0	-2.89345e-013	-1.47462e-013	-2.41388e-013	0	0	-1.66656e-013	-2.78938e-013	-3.52583e-013	-3.953e-013	0	0	-1.54396e-013	-2.98616e-013
[MIR29C]	-7.90707e-013	-2.09e-013	-2.38443e-013	-3.33062e-013	-2.33004e-013	0	-2.04948e-013	-2.40939e-013	-3.92403e-013	-2.37172e-013	-4.09048e-013	-5.24887e-013	-3.32042e-013	-5.635e-013	-3.453e-013	0	0	0	-5.11504e-013	0	-3.2019e-013	0	-2.04805e-013	-2.22505e-013	-5.11911e-013	-2.24666e-013	-5.00175e-013	-4.08429e-013	-5.19494e-013	-4.02328e-013	-2.53079e-013	-2.91109e-013	-2.07779e-013	-4.0614e-013	-2.11337e-013	-2.9158e-013	-5.66144e-013	-3.22121e-013	-2.14463e-013	-2.27451e-013	-3.30426e-013	-3.35543e-013	0	0	0	0	0	0	0	0	0	-4.18446e-013	0	0	0	-3.80699e-013	0	-2.71701e-013	0	-1.74654e-013	-1.77966e-013	-2.0734e-013	0	-1.73939e-013	-2.469e-013	0	0	-2.41388e-013	0	0	-1.66656e-013	0	-3.52583e-013	-7.906e-013	0	0	0	-2.98616e-013
[MIR34A]	0	1.045e-013	0	0	1.16502e-013	0	1.02474e-013	1.20469e-013	0	1.18586e-013	2.04524e-013	0	1.66021e-013	1.40875e-013	1.7265e-013	3.13071e-013	0	0	1.27876e-013	0	0	0	1.02402e-013	1.11252e-013	2.55956e-013	1.12333e-013	2.50087e-013	2.04214e-013	1.29873e-013	2.01164e-013	1.26539e-013	0	1.03889e-013	0	1.05669e-013	1.4579e-013	0	3.22121e-013	0	1.13725e-013	1.65213e-013	0	0	0	0	0	0	0	0	0	0	2.09223e-013	0	0	0	9.51746e-014	0	1.3585e-013	0	8.73272e-014	0	0	0	8.69697e-014	1.2345e-013	1.44672e-013	7.37312e-014	1.20694e-013	0	0	0	2.78938e-013	0	0	0	0	1.54396e-013	7.4654e-014
[MIR34B]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56536e-013	0	0	0	0	0	0	0	0	1.27978e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39469e-013	0	0	0	0	0	0
