arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1
-0.199641	-0.0971518	-0.402767	-0.168077	0.0505253	0.0636283	-0.132588	0.269218	-0.242011	0.473451	0.0275626	-0.16317	0.197836	0.253	-0.0447234	-0.067048	-0.0828305	-0.0508036	0.000164588	0.0625372	0.0406998	-0.0387715	0.282894	0.205228	0.0997818	-0.0531879	-0.0830152	0.0069469	-0.00463261	-0.0201589	0.0851902	0.0161751	-0.0177647	-0.0533285	-0.092926	-0.0673899	-0.143351	0.0113957	0.0603258	0.0328159	0.0385605	0.0662492	0.0647051	0.0261397	0.0302676	0.119086	0.00900093	0.00828713	-0.00807009	-0.0136637	0.00558416	0.0108431	0.00205421	0.00881746	-0.116358	0.0120455	0.0944244	0.0076849	0.13251	-0.090341	0.0747942	0.0683656	0.0181828	0.0884196	-0.0741119	-0.119066	0.0769363	0.100758	0.01911	0.0565997	-0.0331127	0.0323881	0.0708386	-0.129274	-0.0745279	-0.01144	-0.0271051	0.0502098
0.0672624	-0.429772	-0.251914	-0.362525	-0.960612	-0.156453	0.0870616	-0.176272	-0.145939	0.0753595	-0.167901	0.0624292	0.197836	-0.270101	-0.228149	-0.0613867	-0.0601854	-0.0692933	-0.112495	-0.149194	-0.272369	-0.0999132	-0.506287	-0.345614	-0.18215	-0.0262969	-0.351359	0.0312904	0.020277	0.0271127	0.119158	0.00428646	0.00318203	-0.0578575	0.0961605	0.00733893	0.049132	-0.036159	-0.0846028	-0.082674	-0.0633424	-0.0424473	0.00469562	-0.0463246	-0.0252129	0.0103891	-0.00232161	0.189448	0.0168395	0.0191717	0.0508743	-0.0219923	0.0360218	0.0642979	0.00932216	-0.0751381	-0.42528	0.259045	-0.036196	0.239145	0.020446	0.104598	0.014786	-0.119915	-0.0118379	0.0315235	0.0169268	-0.0679482	0.0508131	-0.0249226	0.0178387	0.0221978	0.100277	-0.0703972	0.00359763	-0.0148367	-0.0723953	0.103426
0.158721	-0.32109	0.20125	0.0809479	0.106725	0.0147915	-0.240418	-0.270989	-0.15641	0.383437	-0.536969	0.238385	0.197836	0.188462	0.185124	0.022117	0.163435	0.0488348	-0.0683368	-0.105036	-0.405125	0.0235025	-0.497603	-0.364296	-0.116479	0.0606037	-0.124909	-0.0377771	-0.0272777	0.0746674	0.0880208	0.0297622	0.020732	0.127832	0.0169027	0.0288518	0.0717771	-0.0463493	-0.0325191	-0.262702	0.0827184	-0.0356537	0.0262085	0.0261397	-0.0648418	0.0194472	0.00900093	0.276631	0.000987941	0.0135104	-0.0510286	0.050472	0.0314928	0.0699592	-0.0155874	-0.0196576	-0.188639	0.169597	-0.0294025	0.0240167	-0.0939117	-0.0448598	0.019315	-0.128973	-0.0242927	0.0666234	0.00447201	-0.0928578	0.00439065	-0.0260549	0.0133097	-0.05706	0.120658	0.0835894	0.158716	-0.0182335	0.0951783	0.00944863
0.31793	-0.0677966	0.0537358	-0.0313339	0.11082	0.0311402	-0.0433338	0.256544	-0.0539904	0.165585	0.00628458	0.403576	-0.116931	0.365093	-0.136436	-0.0461013	-0.000742086	-0.0157037	0.019979	-0.0484237	-0.0278016	0.00991548	-0.348904	-0.353539	-0.0711886	-0.0237493	-0.037725	-0.0253223	-0.106536	-0.0883772	-0.147488	-0.0251522	-0.0268227	-0.0504979	-0.00234565	-0.0911672	0.0751739	-0.0203074	-0.0223288	-0.0226646	0.0283702	0.0458686	0.00469562	0.0351977	-0.061445	-0.0609429	0.0259847	0.189448	0.0417491	0.020304	-0.0453673	0.0527365	-0.0375747	-0.0149599	0.17916	-0.0694768	-0.00181724	0.0541073	-0.0645024	-0.0450508	-0.0316377	-0.0675049	0.0204473	-0.0202768	-0.0118379	0.0858717	-0.10196	-0.0034097	0.01911	-0.0453032	0.0495418	0.116175	0.0300774	0.0292412	-0.088115	-0.0216303	0.0963106	-0.0992478
0.0872537	-0.137194	-0.133621	0.115521	0.133583	0.0571339	-0.27402	-0.170607	-0.0121558	0.143671	-0.41382	0.440848	0.197836	0.205446	-0.29759	-0.0302497	-0.0873595	-0.0715578	-0.133441	-0.105036	-0.0286508	-0.0772681	-0.431932	-0.422607	-0.118743	-0.00648241	-0.187183	-0.0660835	-0.113329	0.050607	-0.0648335	0.0257993	-0.0177647	-0.0618204	-0.0940583	-0.100225	0.0887609	-0.0893749	-0.0642222	-0.0498387	0.0793217	0.011901	-0.0360655	-0.00556341	-0.0297419	-0.079059	0.0237202	0.280028	-0.119031	0.03842	-0.0555576	0.0516043	0.0450799	-0.0523243	0.0478188	-0.0275834	-0.188639	0.0744879	-0.0294025	-0.0224057	-0.0633409	0.029869	0.0227118	0.0691713	0.03232	0.0734169	-0.131399	-0.0475676	0.01911	-0.107577	-0.00254187	-0.00724077	0.0515902	-0.0443554	-0.0994375	-0.00917545	0.0985751	-0.0664124
-0.0114907	-0.587616	0.0982104	-0.517867	0.395654	0.148021	-0.196642	0.0205046	-0.0496056	0.334462	-0.494716	-0.00101451	-0.214304	0.315274	0.185124	-0.120264	-0.163787	-0.0643906	-0.129479	-0.166178	-0.248025	-0.0478295	-0.607816	-0.51432	-0.160637	-0.120274	-0.649142	-0.0524965	-0.121255	-0.0501636	-0.234672	-0.0279828	-0.00757439	-0.0838994	-0.104249	-0.144383	0.0808351	-0.0180429	-0.0359159	-0.0792773	-0.0712682	0.0175622	-0.00436241	-0.0587794	-0.0172871	-0.0371655	0.0123977	0.231341	-0.128089	0.00898143	-0.236718	0.0187689	0.0303606	0.0178755	0.030835	0.0131778	-0.144481	0.171862	-0.0327993	0.0115619	-0.0452248	0.00495936	0.0261086	-0.305605	-0.0322185	0.0745492	-0.224243	-0.0611547	-0.0307092	-0.0679483	0.00651617	0.00181726	0.101409	0.0564153	-0.0564119	-0.0544656	0.0906493	-0.0743382
-0.165893	0.115787	0.0174607	-0.0412006	0.142574	-0.0424558	-0.593941	-0.0747954	-0.12208	0.0638389	-0.0976245	-0.0780552	-0.116931	0.310745	-0.140591	-0.0746907	-0.114534	-0.0953351	-0.143066	-0.191088	-0.469098	-0.045565	-0.586677	-0.477521	-0.174224	-0.022334	0.358564	-0.0270207	-0.0567163	0.0690061	0.0359371	-0.051194	-0.0166324	0.127832	-0.0578261	-0.0685221	0.0570578	-0.0338945	-0.0279901	-0.00794526	-0.0373005	-0.0424473	0.0148859	0.00236237	-0.0297419	-0.170772	-0.00571837	0.264177	-0.106576	-0.00347337	0.0463453	0.0425462	-0.000210303	0.024669	-0.02691	-0.0887251	-0.21921	0.206962	-0.0339315	0.0704391	-0.00559589	-0.0301405	0.0125215	-0.277299	0.0470393	0.0666234	-0.0193053	-0.071345	0.0134487	-0.0158646	0.0721869	0.0188011	0.0946159	0.0349024	-0.083586	0.0202632	0.0725333	0.0785162
-0.22714	-0.180238	0.141766	-0.332449	0.332528	-0.0673421	0.10998	-0.111397	-0.168649	0.276162	-0.232501	-0.132269	-0.298091	0.178271	-0.0658626	0.0795789	0.00435306	0.00580917	-0.0462578	-0.13674	-0.0759224	-0.0365069	-0.31343	-0.0416033	-0.141388	0.0523948	-0.149818	-0.0202272	-0.0714356	0.14147	0.101042	0.0705233	0.0524351	0.127832	0.0463413	0.0175292	0.0683803	-0.108623	-0.0132708	-0.0249291	0.0283702	0.0492654	0.00356337	0.0385945	-0.138438	-0.0801912	0.0214557	0.092074	0.0530716	0.00898143	0.0237002	0.0380172	0.019038	0.0699592	-0.0325713	0.00864874	-0.290542	0.188846	-0.101867	0.0840262	0.0691329	0.0944075	0.0261086	-0.119915	0.0334523	0.0168042	0.0633492	-0.0034097	0.0111842	-0.0724773	0.125403	0.062959	0.186328	0.140202	-0.150389	0.0281889	-0.133537	-0.0754704
0.0236496	-0.260081	-0.120856	-0.337058	-0.0429532	-0.241154	0.152508	0.0379989	-0.0971419	0.153353	0.294638	0.155501	0.197836	0.709299	0.185124	0.08892	0.244391	0.1481	0.189251	0.173498	-0.0283677	0.145786	0.322897	0.218815	0.150733	-0.022617	-0.217753	0.0290259	0.0689639	0.0307925	-0.022374	-0.00250707	0.0360174	0.0214003	0.114277	0.0832	-0.272428	0.0453633	-0.06309	-0.0883353	-0.0203167	-0.0265957	0.0194149	9.79E-05	0.014416	0.140598	0.0157945	0.105661	-0.0171281	-0.0227217	0.0372873	0.0187689	-0.129287	-0.192724	0.107828	0.0154423	0.141979	0.025801	0.0124909	-0.0212735	0.0781909	-0.0176857	0.0170505	-0.0859475	-0.00391211	-0.108876	0.0112655	-0.00567421	0.0145809	0.0237643	-0.0115999	0.0346526	-0.00841926	-0.069265	-0.128876	0.0780081	-0.0633373	0.0683259
0.315456	0.271839	0.0491808	-0.229241	1.34498	0.0753866	-0.0220743	0.0188583	0.0560073	0.279569	-0.106369	0.560912	0.197836	0.392268	0.185124	-0.00109418	0.0377546	0.0888487	0.0805546	0.101034	0.028245	0.0302961	-0.185859	-0.315609	0.0975173	-0.04045	-0.304937	0.00581465	0.0349963	0.0183377	0.125385	0.0093816	0.0026159	0.127832	-0.0204617	0.00394216	0.0570578	0.00573443	0.0286226	0.00337729	-0.0474908	-0.0786794	0.0228117	0.0159494	0.0370611	-0.00885918	0.0203235	0.130571	-0.0578893	0.0101137	-0.0227222	-0.0661502	-0.0455005	-0.113466	0.0376285	0.0324261	0.146508	0.00655265	0.104204	-0.0790185	-0.023712	-0.150159	0.0181828	0.0691713	-0.0752441	-0.0522633	0.00900103	-0.0317161	-0.025048	0.0294256	-0.1169	-0.0106375	-0.016345	-0.133803	0.269677	0.00327934	0.0747978	-0.0301803
