	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1	arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C
tfESR1	0.000229359	-0	0.00019653	-0	-0	-0	-0	-0	0.000215194	-0	-0.012096	-0	-0	0.000226925	0.000206587	-0	-0	-0	0.000216916	-0	-0	-0	-0	-0	-0	-0	0.000199861	0.0001891	0.000219159	-0	-0	-0	-0	0.000205594	0.000251908	0.000220679	-0	0.000171772	0.000120629	0.000170433	-0	0.000194608	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0.000787833	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfETS1	0.000321487	-0	0.000275469	-0	-0	-0	-0	-0	0.000301632	-0	-0	-0.01008	-0	-0	0.000289567	-0	-0	-0	0.000304046	-0	-0	-0	-0	-0	0.00031758	-0	-0	-0	0.000307188	-0	-0	-0	-0	0.000288174	-0	-0	0.000273628	-0	0.000169081	-0	0.000321881	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00146021	-0.0014128	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfFOXA1	0.000345991	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.00038451	-0	-0.0103542	-0	0.000311638	0.000350773	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000259119	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00102998	-0
tfGATA1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000398931	-0	-0.0104268	0.000382086	-0	-0	-0	-0	-0	0.000562687	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfGATA2	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000366005	-0.0103958	-0	-0	-0	-0	-0	0.000490697	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000313881	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfGATA3	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000437842	0.000370509	0.000333405	-0	-0	-0.0110448	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfGLI1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000318739	-0	-0	-0	-0	-0.011232	0.00037225	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000288477	-0	-0	0.000251855	-0	0.000287578	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfGLI2	0.000397218	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000357779	-0	-0	-0.0102453	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfJUN	0.000302232	0.000340174	-0	-0	-0	-0	0.000356634	-0	0.000283565	0.000306409	0.000335879	0.000284226	-0	0.000299024	0.000272224	-0	-0	-0	-0.0114278	-0	-0	-0	0.000248799	0.000322058	-0	-0	0.000263358	-0	0.000288788	0.000414244	0.00034566	0.000349776	-0	0.000270915	0.000331944	-0	-0	-0	-0	-0	-0	0.000256439	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfJUND	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000460851	-0	-0	0.000441391	-0	-0	-0	-0	-0.008676	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
