	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1	arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C
arnBCL2	0.000759772	0.000855154	0.000651017	0.000747808	-0	-0	0.000896535	0.00128671	-0	0.000770275	0.000844355	0.000714506	0.000642958	-0	-0	-0	0.00204265	0.000834461	-0	-0	0.0010078	0.00177211	0.000625452	-0	0.000750535	0.0012334	0.000662047	0.000626403	0.000725973	0.00104136	0.000868944	-0	0.00078911	0.000681043	0.000834468	0.000731015	0.000646672	-0	0.000399591	-0	0.000760699	-0	-0.0567358	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0.000803732	-0	-0.000803732	-0.00140653	-0.000786983	-0.00139537	-0.00154917	-0.00123909	-0.000786987	-0.00136257	-0.00220258	-0.00213107	-0.00169223	-0.00120001	-0	-0.000795354	-0.00154066	-0.00168267	-0.00116974	-0.00169084	-0.000786975	-0.000786979	-0	-0
arnBID	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.01728	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnCAMK1D	0.000645179	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000717006	0.000606741	0.000545981	-0	0.000581121	0.000654099	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000483187	-0	-0	-0	-0	-0	0	-0.0233001	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnCARD10	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0.0184437	0	-0	-0	-0	-0	0	-0	0	-0	-1.79892e-036	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnCASP1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	-0.019968	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnCLCA1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000544828	0.000495998	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000467236	-0	0	-0	-0	0	-0.023712	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnDAP	0.000749769	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000705101	-0	0.000741809	0.000675324	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000636166	-0	0	-0	-0	0	-0	-0.018944	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnGLRX2	0.000737706	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000729878	0.000664463	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0.018688	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnIL1F10	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000711898	-0	0	-0	-0	0	-0	-0	-0	-0.020928	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnIL6	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	-0.0397831	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnLGALS3	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0.019616	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
arnSERPINB2	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	-0.021632	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR143	-0	-0	-0	-0	0.000564513	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0.0170731	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR146A	-0	-0	0.000608421	-0	-0	-0	-0	-0	-0	-0	-0	0.000667753	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000701429	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0.0118465	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR148A	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00167552	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0.0159061	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR15A	-0	-0	-0	-0	-0	-0	-0	0.000945233	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000740347	-0	-0.00124423	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0.013207	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR15B	-0	-0	-0	-0	-0	-0	-0	0.00141649	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0.0141861	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR16_2	-0	-0	-0	-0	-0	-0	-0	0.00130331	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0.011256	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR17	-0	-0	-0	-0	-0	-0	-0	0.00120157	-0	-0	0.000788487	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000584064	-0	-0.00195427	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0.0113846	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR18A	-0	-0	-0	-0	-0	-0	-0	0.00108757	-0	-0	0.000713678	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.00052865	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0.0120064	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR192	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000384429	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0149437	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR195	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00128136	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00874752	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR200B	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0018935	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.00032674	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0126204	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR200C	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00184068	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000317626	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0154197	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR20A	-0	-0	-0	-0	-0	-0	-0	0.0013192	-0	-0	0.000865678	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000641245	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0103578	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR21	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000634264	-0	-0	-0	-0	-0	-0	-0	0.000539761	-0	-0	-0	-0	-0	-0.00169369	-0	-0	-0	-0	-0	-0	0.000660505	0.000592761	-0	0.000626832	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0133571	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR224	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0160371	-0	-0	-0	-0	-0	-0	-0	-0	-0
MIR29A	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000524153	-0	-0	-0	-0.00104535	-0	-0.00124593	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000291485	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00804	-0	-0	-0	-0	-0	-0	-0	-0
MIR29C	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00121812	-0	-0.00145186	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00899039	-0	-0	-0	-0	-0	-0	-0
MIR34A	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00121903	-0	0.000569435	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000303169	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0137182	-0	-0	-0	-0	-0	-0
MIR34B	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000293397	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0153133	-0	-0	-0	-0	-0
MIR34C	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000449281	-0	-0	-0	-0	0.000263609	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0171692	-0	-0	-0	-0
MIR448	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00120987	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0148454	-0	-0	-0
MIR449A	-0	-0	-0	-0	-0	-0	-0	0.000710898	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0182058	-0	-0
MIRLET7A1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00138989	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00855816	-0
MIRLET7C	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00147079	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00861888
